produto_id,entrada,saida,validade_dias,dia_semana,categoria,fornecedor,preco_unitario,promocao,feriado,temperatura_media,sobrou
1,50,40,3,0,Fruta,Ceasa Minas,2.50,0,1,28.0,10
2,30,28,5,1,Legume,Frutaria São Jorge,1.80,0,0,26.5,2
3,20,15,2,2,Verdura,Hortifruti Oba,1.20,1,0,25.0,5
4,100,90,7,3,Carne,Swift,12.00,0,0,22.0,10
5,60,55,4,4,Bebida,Ambev,3.00,1,0,30.0,5
6,40,38,6,5,Fruta,Ceasa Minas,2.70,0,0,27.0,2
7,25,20,3,6,Legume,Frutaria São Jorge,1.90,1,0,29.0,5
8,80,60,2,0,Verdura,Hortifruti Oba,1.10,0,1,31.0,20
9,120,110,5,1,Carne,Swift,11.50,0,0,23.0,10
10,70,65,4,2,Bebida,Ambev,2.90,1,0,32.0,5
11,55,50,3,3,Fruta,Ceasa Minas,2.60,0,0,26.0,5
12,35,30,5,4,Legume,Frutaria São Jorge,1.85,0,0,25.5,5
13,22,18,2,5,Verdura,Hortifruti Oba,1.25,1,0,24.0,4
14,105,95,7,6,Carne,Swift,12.20,0,0,21.0,10
15,65,60,4,0,Bebida,Ambev,3.10,1,1,29.0,5
16,80,75,3,1,Fruta,Ceasa Minas,2.55,0,0,27.5,5
17,45,40,5,2,Legume,Frutaria São Jorge,1.95,0,0,26.0,5
18,30,25,2,3,Verdura,Hortifruti Oba,1.30,1,0,25.0,5
19,110,100,6,4,Carne,Swift,11.80,0,0,22.5,10
20,75,70,4,5,Bebida,Ambev,3.05,1,0,31.0,5
21,60,55,3,6,Fruta,Ceasa Minas,2.65,0,0,28.0,5
22,28,25,5,0,Legume,Frutaria São Jorge,1.88,0,1,27.0,3
23,18,15,2,1,Verdura,Hortifruti Oba,1.22,1,0,24.5,3
24,95,90,7,2,Carne,Swift,12.10,0,0,23.0,5
25,68,65,4,3,Bebida,Ambev,3.15,1,0,30.5,3
26,50,45,3,4,Fruta,Ceasa Minas,2.70,0,0,27.0,5
27,32,30,5,5,Legume,Frutaria São Jorge,1.92,0,0,26.5,2
28,20,18,2,6,Verdura,Hortifruti Oba,1.28,1,0,25.0,2
29,115,110,6,0,Carne,Swift,11.90,0,1,22.0,5
30,72,70,4,1,Bebida,Ambev,3.08,1,0,32.0,2
